Vernier Format 2
NiSi55_40_det	16:30  Thursday, March 02, 2023
Latest
Time	Potential
Time	V
min	V

6.100000381	0.667499959
6.150000095	0.653750002
6.200000286	0.658749998
6.250000477	0.657499969
6.300000191	0.654999971
6.350000381	0.638749957
6.400000572	0.654999971
6.450000286	0.649999976
6.500000477	0.641250014
6.550000191	0.642499983
6.600000381	0.642499983
6.650000572	0.666249990
6.700000286	0.657499969
6.750000477	0.652499974
6.800000191	0.647499979
6.850000381	0.649999976
6.900000572	0.677500010
6.950000286	0.628749967
7.000000477	0.649999976
7.050000191	0.677500010
7.100000381	0.652499974
7.150000572	0.654999971
7.200000286	0.641250014
7.250000477	0.659999967
7.300000191	0.659999967
7.350000381	0.667499959
7.400000572	0.672500014
7.450000286	0.682500005
7.500000477	0.651250005
7.550000191	0.653750002
7.600000381	0.664999962
7.650000572	0.676249981
7.700000286	0.652499974
7.750000477	0.657499969
7.800000191	0.657499969
7.850000381	0.631249964
7.900000572	0.623749971
7.950000286	0.636249959
8.000000000	0.652499974
8.050000191	0.664999962
8.100000381	0.651250005
8.150000572	0.637499988
8.200000763	0.668749988
8.250000000	0.671249986
8.300000191	0.649999976
8.350000381	0.633749962
8.400000572	0.649999976
8.450000763	0.641250014
8.500000000	0.653750002
8.550000191	0.644999981
8.600000381	0.641250014
8.650000572	0.610000014
8.700000763	0.638749957
8.750000000	0.648750007
8.800000191	0.667499959
8.850000381	0.644999981
8.900000572	0.643750012
8.950000763	0.676249981
9.000000000	0.681249976
9.050000191	0.661249995
9.100000381	0.643750012
9.150000572	0.666249990
9.200000763	0.652499974
9.250000954	0.652499974
9.300000191	0.654999971
9.350000381	0.663749993
9.400000572	0.652499974
9.450000763	0.649999976
9.500000954	0.648750007
9.550000191	0.626249969
9.600000381	0.651250005
9.650000572	0.639999986
9.700000763	0.671249986
9.750000954	0.662499964
9.800000191	0.647499979
9.850000381	0.643750012
9.900000572	0.649999976
9.950000763	0.625000000
10.000000954	0.643750012
10.050000191	0.677500010
10.100000381	0.636249959
10.150000572	0.647499979
10.200000763	0.664999962
10.250000954	0.651250005
10.300000191	0.658749998
10.350000381	0.648750007
10.400000572	0.678749979
10.450000763	0.636249959
10.500000954	0.659999967
10.550000191	0.651250005
10.600000381	0.644999981
10.650000572	0.668749988
