Vernier Format 2
NiSi55_40_det	16:30  Thursday, March 02, 2023
Latest
Time	Potential
Time	V
min	V

0.000000000	0.621249974
0.050000004	0.608749986
0.100000009	0.604999959
0.150000006	0.626249969
0.200000018	0.615000010
0.250000000	0.620000005
0.300000012	0.628749967
0.350000024	0.648750007
0.400000036	0.651250005
0.450000018	0.641250014
0.500000000	0.652499974
0.550000012	0.632499993
0.600000024	0.651250005
0.650000036	0.621249974
0.700000048	0.651250005
0.750000060	0.620000005
0.800000072	0.641250014
0.850000024	0.641250014
0.900000036	0.638749957
0.950000048	0.648750007
1.000000000	0.629999995
1.050000072	0.621249974
1.100000024	0.612500012
1.150000095	0.629999995
1.200000048	0.639999986
1.250000119	0.639999986
1.300000072	0.633749962
1.350000024	0.615000010
1.400000095	0.629999995
1.450000048	0.633749962
1.500000119	0.603749990
1.550000072	0.668749988
1.600000143	0.647499979
1.650000095	0.628749967
1.700000048	0.649999976
1.750000119	0.662499964
1.800000072	0.647499979
1.850000143	0.657499969
1.900000095	0.639999986
1.950000048	0.641250014
2.000000000	0.646250010
2.050000191	0.629999995
2.100000143	0.638749957
2.150000095	0.631249964
2.200000048	0.631249964
2.250000000	0.637499988
2.300000191	0.644999981
2.350000143	0.663749993
2.400000095	0.642499983
2.450000048	0.663749993
2.500000238	0.651250005
2.550000191	0.667499959
2.600000143	0.669999957
2.650000095	0.691249967
2.700000048	0.662499964
2.750000238	0.661249995
2.800000191	0.652499974
2.850000143	0.647499979
2.900000095	0.666249990
2.950000048	0.677500010
3.000000238	0.693749964
3.050000191	0.661249995
3.100000143	0.698749959
3.150000095	0.686249971
3.200000286	0.754999995
3.250000238	0.816249967
3.300000191	0.817499995
3.350000143	0.879999995
3.400000095	0.909999967
3.450000286	0.998749971
3.500000238	1.077499986
3.550000191	1.176249981
3.600000143	1.284999967
3.650000095	1.399999976
3.700000286	1.509999990
3.750000238	1.648749948
3.800000191	1.692499995
3.850000143	1.856249928
3.900000095	1.856249928
3.950000286	1.936249971
4.000000000	1.996249914
4.050000191	2.047499895
4.100000381	2.069999933
4.150000095	2.011250019
4.200000286	1.953750014
4.250000000	1.881249905
4.300000191	1.798749924
4.350000381	1.692499995
4.400000095	1.577499986
4.450000286	1.444999933
4.500000000	1.294999957
4.550000191	1.186249971
4.600000381	1.083750010
4.650000095	0.984999955
4.700000286	0.914999962
4.750000477	0.871249974
4.800000191	0.814999998
4.850000381	0.794999957
4.900000095	0.751249969
4.950000286	0.733749986
5.000000477	0.751249969
5.050000191	0.719999969
5.100000381	0.699999988
5.150000095	0.699999988
5.200000286	0.698749959
5.250000477	0.676249981
5.300000191	0.687500000
5.350000381	0.661249995
5.400000095	0.693749964
5.450000286	0.677500010
5.500000477	0.656250000
5.550000191	0.677500010
5.600000381	0.687500000
5.650000095	0.675000012
5.700000286	0.685000002
5.750000477	0.673749983
5.800000191	0.656250000
5.850000381	0.656250000
5.900000095	0.647499979
5.950000286	0.647499979
6.000000477	0.675000012
