Vernier Format 2
Untitled	17:08  Thursday, March 02, 2023
Latest
Time	Potential
Time	V
min	V

0.000000000	1.001250029
0.050000004	1.004999995
0.100000009	1.054999948
0.150000006	1.047500014
0.200000018	1.100000024
0.250000000	1.082499981
0.300000012	1.077499986
0.350000024	1.051249981
0.400000036	1.016250014
0.450000018	0.979999959
0.500000000	0.969999969
0.550000012	0.889999986
0.600000024	0.807500005
0.650000036	0.758749962
0.700000048	0.719999969
0.750000060	0.687500000
0.800000072	0.639999986
0.850000024	0.613749981
0.900000036	0.571249962
0.950000048	0.567499995
1.000000000	0.518750012
1.050000072	0.512499988
1.100000024	0.514999986
1.150000095	0.524999976
1.200000048	0.489999980
1.250000119	0.521250010
1.300000072	0.511249959
1.350000024	0.491249979
1.400000095	0.467500001
1.450000048	0.506249964
1.500000119	0.484999985
1.550000072	0.494999975
1.600000143	0.486249983
1.650000095	0.486249983
1.700000048	0.463749975
1.750000119	0.472499996
1.800000072	0.489999980
1.850000143	0.462499976
1.900000095	0.483749986
1.950000048	0.477499992
2.000000000	0.507499993
2.050000191	0.484999985
2.100000143	0.497500002
2.150000095	0.483749986
2.200000048	0.476249993
2.250000000	0.473749995
2.300000191	0.479999989
2.350000143	0.467500001
2.400000095	0.473749995
2.450000048	0.497500002
2.500000238	0.473749995
2.550000191	0.492499977
2.600000143	0.501249969
2.650000095	0.484999985
2.700000048	0.496250004
2.750000238	0.488749981
2.800000191	0.492499977
2.850000143	0.486249983
2.900000095	0.491249979
2.950000048	0.481249988
3.000000238	0.463749975
3.050000191	0.484999985
3.100000143	0.494999975
3.150000095	0.489999980
3.200000286	0.474999994
3.250000238	0.494999975
3.300000191	0.493749976
3.350000143	0.473749995
3.400000095	0.491249979
3.450000286	0.472499996
3.500000238	0.465000004
3.550000191	0.484999985
3.600000143	0.468750000
3.650000095	0.482499987
3.700000286	0.500000000
3.750000238	0.493749976
3.800000191	0.483749986
3.850000143	0.473749995
3.900000095	0.458749980
3.950000286	0.471249998
4.000000000	0.484999985
4.050000191	0.472499996
4.100000381	0.483749986
4.150000095	0.492499977
4.200000286	0.476249993
4.250000000	0.506249964
4.300000191	0.467500001
4.350000381	0.489999980
4.400000095	0.486249983
4.450000286	0.488749981
4.500000000	0.486249983
4.550000191	0.473749995
4.600000381	0.454999983
4.650000095	0.479999989
4.700000286	0.471249998
4.750000477	0.493749976
4.800000191	0.488749981
4.850000381	0.488749981
4.900000095	0.500000000
4.950000286	0.498750001
5.000000477	0.481249988
5.050000191	0.493749976
5.100000381	0.483749986
5.150000095	0.481249988
5.200000286	0.508749962
5.250000477	0.491249979
5.300000191	0.516250014
5.350000381	0.508749962
5.400000095	0.500000000
5.450000286	0.507499993
5.500000477	0.526250005
5.550000191	0.503749967
5.600000381	0.502499998
5.650000095	0.521250010
5.700000286	0.516250014
5.750000477	0.507499993
5.800000191	0.506249964
5.850000381	0.503749967
5.900000095	0.519999981
5.950000286	0.512499988
6.000000477	0.512499988
6.050000191	0.517499983
6.100000381	0.503749967
6.150000095	0.501249969
6.200000286	0.512499988
6.250000477	0.531250000
6.300000191	0.543749988
6.350000381	0.550000012
6.400000572	0.562500000
6.450000286	0.571249962
6.500000477	0.597499967
6.550000191	0.593750000
6.600000381	0.607499957
6.650000572	0.634999990
6.700000286	0.681249976
6.750000477	0.689999998
6.800000191	0.726249993
6.850000381	0.743749976
6.900000572	0.821249962
6.950000286	0.904999971
7.000000477	1.007499933
7.050000191	1.187500000
7.100000381	1.241249919
7.150000572	1.407499909
7.200000286	1.620000005
7.250000477	1.841249943
7.300000191	2.085000038
7.350000381	2.335000038
7.400000572	2.613749981
7.450000286	2.884999990
7.500000477	3.057499886
7.550000191	3.241250038
7.600000381	3.392499924
7.650000572	3.453749895
7.700000286	3.451249838
7.750000477	3.458750010
7.800000191	3.463749886
7.850000381	3.362499952
7.900000572	3.256249905
7.950000286	3.083750010
8.000000000	2.863749981
8.050000191	2.572499990
8.100000381	2.349999905
8.150000572	2.077499866
8.200000763	1.861249924
8.250000000	1.634999990
8.300000191	1.442499995
8.350000381	1.276250005
8.400000572	1.102499962
8.450000763	0.973749995
8.500000000	0.886249959
8.550000191	0.834999979
8.600000381	0.803749979
8.650000572	0.766249955
8.700000763	0.704999983
8.750000000	0.654999971
8.800000191	0.671249986
8.850000381	0.634999990
8.900000572	0.612500012
8.950000763	0.597499967
9.000000000	0.566249967
9.050000191	0.574999988
9.100000381	0.553749979
9.150000572	0.556249976
9.200000763	0.529999971
9.250000954	0.546249986
9.300000191	0.524999976
9.350000381	0.524999976
9.400000572	0.523750007
9.450000763	0.529999971
9.500000954	0.536249995
9.550000191	0.514999986
9.600000381	0.507499993
9.650000572	0.537499964
9.700000763	0.512499988
9.750000954	0.519999981
9.800000191	0.513750017
9.850000381	0.532499969
9.900000572	0.516250014
9.950000763	0.513750017
10.000000954	0.502499998
